REAL_GENOTYPE,TANK,STRIP,POSITION,GENOTYPE,FRESH_LS,FRESH_RS,DRY_LS,DRY_RS,AREA,S_WEIGHT,w_WEIGHT,w_AREA,S,P,T,geno
28,B,10,17,28,1.1,1.56,0.1061,0.2292,22.511387651766686,0.959,5,1,46,2,B,28
18,B,10,20,18,1.01,1.18,0.1213,0.1644,7.693704178409291,0.6415,5,1,46,5,B,18
25,B,9,18,25,2.8,2.26,0.3169,0.1504,30.260638722706716,0.76325,5,1,47,3,B,25
21,B,9,19,21,0.7,0.94,0.0781,0.2334,5.830515737335397,0.7795,4,1,47,4,B,21
16,B,9,16,16,2.77,2.9,0.3444,0.2428,27.007009443542223,0.60675,5,1,47,1,B,16
3,B,9,20,3,1.1,1.51,0.1275,0.1824,24.478437308647514,0.33999999999999997,5,1,47,5,B,3
29,B,8,16,29,1.89,1.78,0.224,0.1908,10.335924634219625,0.9465,5,1,48,1,B,29
22,B,8,20,22,0.51,0.86,0.0688,0.1688,6.722416400754064,0.7705,5,1,48,5,B,22
26,B,8,19,26,1.16,1.31,0.1277,0.1483,23.148880631547186,0.8365,5,1,48,4,B,26
1,B,7,19,1,2.96,3.56,0.3193,0.3137,14.488649113265458,0.23675000000000002,5,1,49,4,B,1
10,B,6,19,10,2.11,1.74,0.2535,0.2001,29.192177161815586,0.4385,5,1,50,4,B,10
5,B,6,20,5,1.1,1.74,0.1165,0.2038,7.917596885367898,0.36174999999999996,5,1,50,5,B,5
14,B,5,17,14,0.35,0.6,0.0307,0.1417,6.3762355903259795,0.58,4,1,51,2,B,14
12,B,5,16,12,1.27,1.07,0.0627,0.0716,23.737203550234344,0.50225,3,1,51,1,B,12
9,B,5,20,9,1.85,1.91,0.1831,0.2148,23.600716537798892,0.46725000000000005,5,1,51,5,B,9
15,B,5,19,15,0.24,0.89,0.0195,0.2121,6.788675862995741,0.63375,1,1,51,4,B,15
1,B,4,18,1,1.42,1.35,0.1549,0.1791,7.3713318956938,0.23675000000000002,5,1,52,3,B,1
16,B,4,17,16,1.77,1.42,0.1858,0.1059,24.180944810615713,0.60675,5,1,52,2,B,16
17,B,4,19,17,3.6,2.71,0.3585,0.2528,29.31886439154506,0.6487499999999999,5,1,52,4,B,17
24,B,3,17,24,1.48,1.05,0,0.0736,8.885372968573504,0.72325,5,1,53,2,B,24
25,B,3,19,25,2.86,1.19,0.3193,0.1033,7.697881446716693,0.76325,5,1,53,4,B,25
23,B,3,20,23,1.5,1.1,0.1627,0.0976,24.508229662281487,0.787,5,1,53,5,B,23
27,B,2,20,27,2.59,1.67,0.2545,0.1782,7.7198770780166655,0.88425,5,1,54,5,B,27
9,B,2,18,9,1.54,1.62,0.1447,0.2022,8.27780545719853,0.46725000000000005,5,1,54,3,B,9
29,B,1,18,29,1.32,1.28,0.1395,0.1464,23.56807806357308,0.9465,5,1,55,3,B,29
7,B,1,15,7,0.56,0.48,0.0401,0.0612,18.812058423439357,0.31875,1,1,56,5,B,7
23,B,1,11,23,0.99,0.84,0.1069,0.1398,23.07483078577016,0.787,4,1,56,1,B,23
15,B,2,15,15,1.1,0.94,0.0615,0.1195,7.13393120882158,0.63375,3,1,57,5,B,15
13,B,2,13,13,1.64,1.14,0.1714,0.106,7.081129016104352,0.5075000000000001,5,1,57,3,B,13
12,B,2,12,12,2.62,1.7,0.2641,0.1537,24.056520532002693,0.50225,5,1,57,2,B,12
10,B,2,11,10,0.72,0.75,0.0828,0.1474,6.4168102404559875,0.4385,5,1,57,1,B,10
17,B,3,11,17,3.92,2.31,0.3788,0.2124,25.62215942585697,0.6487499999999999,5,1,58,1,B,17
8,B,3,15,8,0.46,0.67,0.0541,0.0979,19.47372758125389,0.42325,1,1,58,5,B,8
24,B,4,15,24,1.26,0.8,0.1411,0.0781,7.473215406323332,0.72325,5,1,59,5,B,24
20,B,4,12,20,1.76,1.33,0.1932,0.1058,24.453430747990918,0.7060000000000001,5,1,59,2,B,20
5,B,4,14,5,0.8,1.18,0.0629,0.149,22.219942367642716,0.36174999999999996,5,1,59,4,B,5
25,B,5,15,25,2.13,1.49,0.2564,0.1348,26.565315615123357,0.76325,5,1,60,5,B,25
16,B,5,13,16,3.84,2.56,0.4352,0.1963,26.167346819761335,0.60675,5,1,60,3,B,16
28,B,5,14,28,2.83,2.6,0.2889,0.271,8.85623984999867,0.959,5,1,60,4,B,28
3,B,6,14,3,0.14,0.48,0.0125,0.1029,19.162074207047983,0.33999999999999997,1,1,61,4,B,3
1,B,6,13,1,1.1,1.39,0.1119,0.1799,7.4026645773986335,0.23675000000000002,5,1,61,3,B,1
2,B,7,14,2,3.06,2.3,0.364,0.2402,11.415986196632069,0.32425000000000004,5,1,62,4,B,2
10,B,7,11,10,2.55,1.7,0.3036,0.2046,28.15718445777283,0.4385,5,1,62,1,B,10
9,B,7,12,9,2.88,2.87,0.2646,0.2591,10.465781263271861,0.46725000000000005,5,1,62,2,B,9
29,B,8,15,29,1.87,2.12,0.2303,0.2116,11.719880881295854,0.9465,5,1,63,5,B,29
14,B,8,13,14,3.34,2.95,0.3811,0.1894,12.561616292233833,0.58,5,1,63,3,B,14
13,B,8,14,13,0.24,0.62,0.008,0.0755,19.12973999515716,0.5075000000000001,1,1,63,4,B,13
20,B,9,11,20,1.56,1.68,0.1944,0.1749,26.352103783882463,0.7060000000000001,5,1,64,1,B,20
16,B,9,15,16,1.53,1.68,0.2428,0.2128,23.892351985882225,0.60675,5,1,64,5,B,16
23,B,10,14,23,1.15,1.03,0.1225,0.1324,23.65919829410251,0.787,5,1,65,4,B,23
21,B,10,13,21,1.42,1.36,0.1345,0.2419,8.141299428367137,0.7795,5,1,65,3,B,21
28,B,11,13,28,1.66,1.66,0.1665,0.2009,23.530431938417305,0.959,5,1,66,3,B,28
27,B,11,12,27,0.55,0.77,0.056,0.1414,6.695596943684845,0.88425,4,1,66,2,B,27
2,A,33,1,2,1.76,2.3,0.1274,0.1754,5.616252304676654,0.32425000000000004,5,1,67,1,A,2
18,A,33,4,18,1.74,2.46,0.1458,0.1771,20.311875050379815,0.6415,5,1,67,4,A,18
1,A,32,3,1,3.6,5.01,0.2806,0.2835,23.112474618168978,0.23675000000000002,5,1,68,3,A,1
11,A,32,4,11,0.49,0.93,0.0463,0.1915,2.324169644673558,0.509,4,1,68,4,A,11
8,A,31,3,8,3.89,4.1,0.3071,0.239,11.988598487901807,0.42325,5,1,69,3,A,8
3,A,31,5,3,1.54,2.02,0.1349,0.2478,4.105177701605629,0.33999999999999997,5,1,69,5,A,3
5,A,30,2,5,1.22,1.5,0.093,0.1193,4.585925894649567,0.36174999999999996,5,1,70,2,A,5
12,A,30,3,12,3.02,2.86,0.2387,0.1969,24.258306751982886,0.50225,5,1,70,3,A,12
16,A,30,1,16,4.36,6.08,0.3329,0.3064,26.841016015343612,0.60675,5,1,70,1,A,16
7,A,30,4,7,1.01,1.16,0.0803,0.0971,4.163093698140777,0.31875,5,1,70,4,A,7
25,A,29,1,25,2.12,1.89,0.1487,0.1096,6.316055135670445,0.76325,5,1,71,1,A,25
19,A,29,3,19,1.45,1.98,0.1129,0.1525,7.2479313887684045,0.67125,5,1,71,3,A,19
14,A,28,2,14,3.38,3.86,0.2756,0.2355,10.381831023218858,0.58,5,1,72,2,A,14
23,A,28,4,23,1.03,1.12,0.0914,0.1517,3.623309957098788,0.787,4,1,72,4,A,23
17,A,28,5,17,2.9,1.8,0.3166,0.2054,20.420810606438636,0.6487499999999999,5,1,72,5,A,17
21,A,27,5,21,1.87,1.32,0.1952,0.161,3.6042200052970776,0.7795,5,1,73,5,A,21
13,A,27,2,13,3.78,3.9,0.3063,0.2523,19.311021632293237,0.5075000000000001,5,1,73,2,A,13
19,A,26,4,19,1.78,2.54,0.1387,0.1746,8.4013252930346,0.67125,5,1,74,4,A,19
14,A,26,1,14,6.89,6.72,0.536,0.4107,27.252128107395052,0.58,5,1,74,1,A,14
6,A,26,2,6,4.07,5.34,0.3079,0.2505,14.548737593770431,0.3225,5,1,74,2,A,6
27,A,26,3,27,3.88,3.89,0.2789,0.2464,23.837278632688598,0.88425,5,1,74,3,A,27
12,A,25,2,12,0.27,0.81,0.0158,0.0789,15.724183463137328,0.50225,2,1,75,2,A,12
9,A,25,1,9,1.09,1.23,0.0916,0.2324,3.9982381458692386,0.46725000000000005,5,1,75,1,A,9
1,A,25,4,1,5.51,5.8,0.3923,0.3429,26.07162186541584,0.23675000000000002,5,1,75,4,A,1
7,A,24,1,7,1.77,2.07,0.1463,0.1444,21.03956430895526,0.31875,5,1,76,1,A,7
23,A,24,3,23,2.18,2.92,0.1726,0.177,21.798287534082345,0.787,5,1,76,3,A,23
18,A,24,2,18,1.84,2.1,0.1625,0.1491,6.804429073535978,0.6415,5,1,76,2,A,18
17,A,23,1,17,3.55,3.98,0.2698,0.2246,11.045206848328286,0.6487499999999999,5,1,77,1,A,17
10,A,23,4,10,3.07,2.99,0.2451,0.214,21.872190725507732,0.4385,5,1,77,4,A,10
14,A,22,3,14,3.98,3.5,0.2955,0.22,24.940356695493517,0.58,5,1,78,3,A,14
16,A,22,5,16,5.64,5.46,0.4318,0.2374,27.249844222410736,0.60675,5,1,78,5,A,16
25,A,21,2,25,3.48,2.9,0.2435,0.1318,21.851699735018162,0.76325,5,1,79,2,A,25
2,A,21,3,2,1.33,1.08,0.1074,0.0676,4.500884765527538,0.32425000000000004,5,1,79,3,A,2
19,A,21,1,19,2.9,3.87,0.2082,0.2111,10.580298709125175,0.67125,5,1,79,1,A,19
3,A,20,1,3,2.92,3.32,0.2573,0.2212,24.348293099852476,0.33999999999999997,5,1,80,1,A,3
26,A,20,5,26,1.08,1.49,0.1056,0.1494,19.10142880356414,0.8365,4,1,80,5,A,26
12,A,20,4,12,1.92,2.24,0.1394,0.1351,7.807412838120535,0.50225,5,1,80,4,A,12
7,A,20,3,7,2.27,2.18,0.1715,0.1457,21.514273321536457,0.31875,5,1,80,3,A,7
17,A,20,2,17,0.41,0.91,0.0123,0.105,3.396309702480798,0.6487499999999999,2,1,80,2,A,17
25,A,19,5,25,1.99,1.12,0.1744,0.1034,4.1282724489260625,0.76325,5,1,81,5,A,25
13,A,19,3,13,0.08,0.82,0.0032,0.0747,4.1453919901530645,0.5075000000000001,1,1,81,3,A,13
27,A,19,4,27,3.06,2.93,0.2241,0.219,23.10113835992748,0.88425,5,1,81,4,A,27
16,A,18,3,16,1.3,1.58,0.0977,0.1276,22.77568794838036,0.60675,5,1,82,3,A,16
24,A,18,4,24,1.34,1.28,0.1108,0.1032,5.86790828122621,0.72325,5,1,82,4,A,24
4,A,18,2,4,1.95,1.87,0.2283,0.1729,4.767971359954347,0.30775,5,1,82,2,A,4
9,A,17,2,9,1.59,1.46,0.1554,0.2169,18.719744921394692,0.46725000000000005,5,1,83,2,A,9
18,A,17,5,18,0.81,0.65,0.0895,0.1269,2.777434448662488,0.6415,5,1,83,5,A,18
11,A,17,4,11,1.112,1.05,0.0991,0.0991,19.03097383064449,0.509,5,1,83,4,A,11
23,A,16,5,23,1.06,0.86,0.1218,0.1032,18.895680834430493,0.787,4,1,84,5,A,23
29,A,16,4,29,1.57,1.09,0.0902,0.0839,7.69513142254687,0.9465,1,1,84,4,A,29
23,A,15,2,23,1.9,1.24,0.1763,0.1382,19.14477143877077,0.787,5,1,85,2,A,23
12,A,15,5,12,0.93,0.73,0.0972,0.1269,2.7040238598807775,0.50225,4,1,85,5,A,12
13,A,14,4,13,1.38,1.13,0.114,0.1107,6.200741334991549,0.5075000000000001,5,1,86,4,A,13
3,A,14,2,3,2.8,1.97,0.2571,0.1817,7.243286849556593,0.33999999999999997,5,1,86,2,A,3
18,A,14,1,18,1.73,1.5,0.1634,0.2168,16.448334939090003,0.6415,5,1,86,1,A,18
