Name	   Shoot	   Root
b995	   0.0696	   0.1947
a11	   0.0000	   0.1437
a12	   0.1400	   0.2051
a13	   0.0000	   0.1341
a14	   0.0000	   0.1003
a15	   0.3011	   0.2694
a21	   0.0152	   0.1349
a22	   0.2840	   0.2244
a23	   0.3196	   0.2910
a24	   0.0000	   0.1998
a25	   0.2319	   0.1526
a31	   0.0000	   0.1667
a32	   0.1055	   0.1649
a33	   0.2223	   0.1539
a34	   0.0001	   0.0000
a35	   0.3049	   0.2221
a41	   0.3983	   0.2644
a42	   0.0772	   0.1083
a44	   0.1313	   0.0999
a51	   0.2579	   0.1317
a52	   0.1171	   0.1791
a53	   0.2653	   0.2430
a61	   0.2006	   0.2443
a63	   0.0000	   0.0824
a64	   0.2099	   0.1742
a65	   0.4433	   0.3236
a73	   0.2824	   0.2289
a74	   0.0000	   0.0000
a75	   0.0000	   0.2119
a82	   0.2103	   0.1945
a83	   0.2618	   0.2135
a84	   0.1694	   0.1968
a85	   0.2930	   0.2027
a91	   0.0000	   0.2335
a93	   0.1791	   0.1347
a94	   0.1944	   0.2421
a95	   0.0178	   0.1057
a101	   0.0000	   0.1216
a103	   0.1614	   0.1800
a112	   0.0824	   0.1502
a115	   0.0000	   0.0994
a125	   0.5879	   0.4586
a131	   0.1060	   0.1673
a132	   0.2502	   0.1767
a133	   0.0000	   0.1802
a134	   0.0000	   0.1910
a141	   0.0000	   0.2077
a142	   0.0528	   0.0835
a143	   0.1804	   0.1408
a151	   0.0000	   0.0002
a152	   0.1323	   0.1204
a153	   0.0000	   0.1374
a155	   0.3765	   0.2757
a161	   0.2149	   0.1592
a162	   0.2260	   0.1571
a163	   0.4393	   0.2497
a165	   0.1347	   0.2042
a171	   0.3939	   0.2533
a172	   0.2139	   0.2058
a173	   0.1563	   0.1398
a174	   0.3132	   0.2107
a175	   0.1951	   0.2154
a181	   0.2362	   0.2117
a182	   0.2297	   0.2157
a184	   0.0000	   0.1049
a185	   0.3933	   0.3908
a191	   0.2216	   0.2305
a192	   0.2327	   0.2429
a193	   0.2936	   0.2212
a195	   0.0000	   0.0768
a202	   0.2927	   0.2366
a203	   0.2604	   0.2914
a204	   0.2091	   0.1549
a205	   0.0000	   0.1960
a211	   0.1903	   0.1951
a212	   0.0000	   0.2127
a213	   0.0000	   0.0902
a214	   0.2149	   0.2713
a215	   0.1759	   0.1518
a222	   0.0000	   0.2098
a224	   0.0143	   0.1648
a225	   0.2247	   0.1929
a231	   0.2930	   0.2743
a233	   0.0802	   0.1201
a241	   0.3212	   0.2438
a242	   0.3692	   0.3105
a243	   0.2915	   0.2897
a244	   0.0000	   0.0000
a245	   0.2188	   0.2596
a252	   0.0000	   0.2470
a253	   0.0593	   0.0411
a254	   0.2974	   0.2398
a262	   0.1670	   0.2267
a263	   0.1707	   0.2230
a264	   0.0139	   0.0984
a265	   0.2400	   0.2532
a272	   0.1118	   0.1121
a273	   0.2015	   0.1327
a274	   0.2333	   0.2329
a275	   0.4025	   0.3337
a282	   0.2325	   0.2568
a284	   0.1769	   0.1328
a285	   0.3271	   0.2595
a291	   0.1833	   0.2457
a293	   0.2184	   0.2174
a301	   0.0000	   0.1687
a303	   0.2258	   0.1777
a305	   0.1994	   0.2316
a311	   0.2276	   0.2325
a312	   0.0000	   0.1022
a313	   0.2523	   0.2203
a314	   0.0365	   0.1786
a321	   0.1064	   0.1335
a323	   0.0000	   0.2049
a324	   0.3763	   0.3157
a325	   0.3395	   0.3723
a331	   0.1603	   0.1416
a332	   0.1552	   0.1773
a333	   0.0101	   0.0836
a335	   0.4348	   0.3500
a341	   0.0000	   0.2316
a342	   0.0000	   0.1959
a343	   0.1778	   0.1858
a344	   0.1182	   0.1958
a345	   0.0000	   0.0662
a352	   0.3664	   0.3539
a353	   0.0000	   0.1706
a354	   0.0000	   0.0416
a361	   0.0000	   0.2343
a362	   0.0464	   0.1144
a363	   0.1751	   0.1935
a364	   0.0000	   0.1087
a365	   0.2966	   0.2802
a371	   0.0495	   0.0443
a372	   0.3247	   0.2720
a373	   0.1295	   0.0957
a374	   0.0000	   0.0971
a381	   0.0690	   0.0457
a382	   0.0752	   0.1076
a383	   0.2204	   0.2241
a384	   0.5004	   0.3906
a385	   0.1956	   0.2375
a391	   0.1699	   0.2983
a392	   0.3437	   0.2834
a393	   0.2460	   0.2547
a395	   0.1946	   0.1746
a401	   0.0000	   0.2334
a402	   0.3057	   0.2249
a403	   0.1980	   0.2372
a404	   0.0897	   0.0760
a405	   0.1198	   0.1522
a431	   0.0514	   0.0854
a432	   0.1566	   0.1736
a433	   0.0000	   0.0000
a435	   0.3444	   0.2562
a411	   0.2056	   0.1779
a412	   0.2694	   0.1971
a413	   0.0000	   0.1730
a414	   0.2530	   0.2283
a415	   0.2648	   0.2438
a421	   0.0404	   0.1693
a422	   0.2627	   0.1907
a423	   0.0445	   0.0334
a441	   0.2055	   0.1877
a443	   0.3337	   0.2693
a444	   0.1347	   0.1756
a445	   0.2363	   0.2432
a451	   0.0000	   0.2023
a452	   0.0000	   0.1072
a453	   0.0001	   0.2189
a454	   0.0000	   0.1814
a455	   0.0000	   0.0879
a461	   0.1679	   0.1860
a462	   0.2100	   0.1463
a464	   0.0000	   0.1909
a465	   0.2363	   0.2194
a471	   0.2914	   0.2863
a472	   0.2427	   0.3044
a473	   0.0000	   0.1015
a474	   0.0000	   0.0000
a475	   0.0000	   0.1305
a484	   0.1065	   0.1904
a485	   0.1877	   0.1332
a495	   0.2221	   0.2017
a505	   0.2035	   0.2570
a513	   0.0000	   0.2258
a514	   0.0000	   0.2193
a521	   0.2632	   0.3359
a523	   0.0634	   0.1679
a531	   0.0000	   0.2258
a533	   0.2016	   0.2195
a534	   0.0000	   0.0000
a535	   0.2332	   0.2301
a543	   0.3204	   0.2890
a544	   0.2464	   0.2356
a554	   0.0353	   0.1206
a555	   0.0999	   0.1344
a561	   0.2247	   0.2155
a563	   0.1196	   0.0946
a565	   0.1538	   0.1587
a572	   0.3516	   0.2912
a574	   0.1299	   0.1880
a575	   0.0000	   0.1275
a581	   0.1349	   0.1074
a591	   0.1095	   0.2296
a592	   0.1593	   0.2120
a593	   0.3321	   0.2398
a594	   0.0872	   0.1788
a595	   0.3468	   0.3347
a601	   0.0504	   0.0880
a602	   0.1098	   0.1339
a603	   0.2106	   0.2311
a604	   0.2309	   0.2719
a605	   0.0729	   0.1059
a613	   0.2413	   0.2211
a614	   0.3267	   0.2984
a621	   0.0654	   0.1348
a622	   0.1847	   0.2694
a624	   0.3704	   0.2797
a625	   0.1555	   0.2122
a631	   0.0000	   0.0995
a633	   0.1189	   0.1663
a634	   0.3975	   0.2787
a635	   0.0000	   0.2278
a641	   0.2087	   0.2194
a642	   0.1698	   0.1538
a644	   0.2443	   0.1556
a645	   0.2069	   0.2355
a651	   0.0403	   0.1030
a652	   0.1726	   0.1372
a653	   0.1518	   0.1348
a654	   0.1838	   0.2772
a655	   0.0000	   0.1223
a661	   0.1490	   0.1853
a664	   0.0000	   0.2170
a671	   0.1274	   0.1754
a672	   0.0000	   0.2417
a673	   0.0000	   0.0014
a674	   0.1458	   0.1771
a681	   0.0000	   0.1114
a683	   0.2806	   0.2835
a684	   0.0463	   0.1915
a692	   0.0000	   0.1300
a693	   0.3071	   0.2390
a695	   0.1349	   0.2478
a701	   0.3329	   0.3064
a702	   0.0930	   0.1193
a703	   0.2387	   0.1969
a704	   0.0803	   0.0971
a711	   0.1487	   0.1096
a713	   0.1129	   0.1525
a714	   0.2100	   0.1196
a721	   0.2676	   0.3084
a722	   0.2756	   0.2355
a724	   0.0914	   0.1517
a725	   0.3166	   0.2054
a732	   0.3063	   0.2523
a733	   0.0000	   0.1890
a735	   0.1952	   0.1610
a741	   0.5360	   0.4107
a742	   0.3079	   0.2505
a743	   0.2789	   0.2464
a744	   0.1387	   0.1746
a751	   0.0916	   0.2324
a752	   0.0158	   0.0789
a754	   0.3923	   0.3429
a761	   0.1463	   0.1444
a762	   0.1625	   0.1491
a763	   0.1726	   0.1770
a765	   0.0000	   0.1462
a771	   0.2698	   0.2246
a774	   0.2451	   0.2140
a781	   0.2617	   0.2879
a783	   0.2955	   0.2200
a784	   0.0000	   0.2058
a785	   0.4318	   0.2374
a791	   0.2082	   0.2111
a792	   0.2435	   0.1318
a793	   0.1074	   0.0676
a794	   0.1919	   0.2188
a795	   0.0000	   0.1523
a801	   0.2573	   0.2212
a802	   0.0123	   0.1050
a803	   0.1715	   0.1457
a804	   0.1394	   0.1351
a805	   0.1056	   0.1494
a812	   0.2513	   0.3098
a813	   0.0032	   0.0747
a814	   0.2241	   0.2190
a815	   0.1744	   0.1034
a821	   0.0000	   0.0851
a822	   0.2283	   0.1729
a823	   0.0977	   0.1276
a824	   0.1108	   0.1032
a825	   0.0000	   0.2223
a832	   0.1554	   0.2169
a834	   0.0991	   0.0991
a835	   0.0895	   0.1269
a844	   0.0902	   0.0839
a845	   0.1218	   0.1032
a851	   0.0000	   0.2013
a852	   0.1763	   0.1382
a855	   0.0972	   0.1269
a861	   0.1634	   0.2168
a862	   0.2571	   0.1817
a863	   0.3151	   0.3024
a864	   0.1140	   0.1107
a865	   0.1960	   0.2652
a871	   0.2706	   0.2776
a873	   0.0000	   0.1823
a875	   0.0019	   0.1103
a881	   0.1512	   0.1361
a883	   0.0000	   0.1457
a884	   0.3435	   0.2416
a892	   0.1702	   0.1647
a893	   0.1966	   0.1949
a894	   0.2295	   0.1900
a901	   0.1670	   0.1454
a902	   0.0921	   0.0685
a904	   0.3268	   0.2282
a912	   0.0296	   0.3233
a913	   0.2248	   0.1125
a915	   0.1410	   0.1403
a921	   0.2466	   0.2042
a922	   0.1476	   0.1386
a924	   0.1997	   0.1939
a933	   0.0682	   0.0915
a934	   0.0401	   0.0401
a935	   0.0280	   0.1133
a943	   0.2091	   0.2142
a944	   0.0062	   0.1098
a951	   0.1419	   0.1116
a952	   0.3045	   0.2788
a953	   0.2254	   0.1823
a954	   0.1548	   0.0905
a955	   0.2236	   0.1816
a961	   0.2891	   0.2525
a963	   0.1750	   0.1750
a964	   0.3463	   0.2203
a965	   0.0896	   0.1347
a971	   0.0000	   0.1899
a972	   0.2957	   0.3393
a974	   0.1448	   0.1125
a981	   0.0001	   0.1388
a982	   0.1129	   0.1122
a983	   0.2235	   0.2660
a984	   0.1531	   0.2185
a991	   0.2901	   0.3274
a992	   0.1845	   0.2368
a993	   0.0972	   0.1252
